# B1 (5직업)
B1 | 부동산연구원 | id=1765283648730578
B1 | 부동산임대사무원 | id=1765284244948157
B1 | 부동산정보분석사 | id=1765284110303247
B1 | 부동산정비사업관리자 | id=1765284245202122
B1 | 부동산중개보조원 | id=1765284436915293
# B2 (5직업)
B2 | 부동액배합원 | id=176528502246664
B2 | 부동액충전원 | id=1765285567257212
B2 | 부두노무반장 | id=1765285580019115
B2 | 부두장비관리사무원 | id=1765284266918751
B2 | 부두화물장치료계산원 | id=1765284308435355
# B3 (5직업)
B3 | 부산물하조원 | id=1765285592085243
B3 | 부선관리원 | id=1765285458761220
B3 | 부선원 | id=1765285249219806
B3 | 부시가공원 | id=1765285270728974
B3 | 부식가공원 | id=1765285199047174
# B4 (5직업)
B4 | 부실상장등록법인관리사무원 | id=1765284386537492
B4 | 부실채권관리사무원 | id=1765284371527168
B4 | 부유생물연구원 | id=1765283608371695
B4 | 부유선광원 | id=1765285249493919
B4 | 부잠사처리원 | id=1765284907747586
# B5 (5직업)
B5 | 부직포결합원 | id=1765284952654266
B5 | 부직포기술자 | id=176528397602927
B5 | 부채제조원 | id=1765284789269921
B5 | 부틸기조작원 | id=1765285212344706
B5 | 북수리원 | id=1765284676553871
