# B1 (5직업)
B1 | 북한경제연구원 | id=1765283648996688
B1 | 분괴압연원 | id=1765285166044727
B1 | 분뇨수거차량운전원 | id=1765285424678713
B1 | 분뇨처리기술자 | id=1765285624983340
B1 | 분단기조작원 | id=1765285102770454
# B2 (5직업)
B2 | 분말기조작원 | id=1765284869329662
B2 | 분말소지제조원 | id=1765285224368274
B2 | 분무건조기조작원 | id=1765284848832971
B2 | 분무도장공 | id=1765285190638241
B2 | 분무시유원 | id=1765285224841113
# B3 (5직업)
B3 | 분병원 | id=1765285055036313
B3 | 분사단열원 | id=1765284766492432
B3 | 분식점시중원 | id=1765284490405975
B3 | 분식점조리사 | id=1765284489619457
B3 | 분실물조사원 | id=1765284308842262
# B4 (5직업)
B4 | 분열방지밴드압입원 | id=1765285485580513
B4 | 분제제조원 | id=1765285022812190
B4 | 분체도장공 | id=1765285190926503
B4 | 불꽃연출가 | id=1765284189900345
B4 | 불림원 | id=1765285166451305
# B5 (5직업)
B5 | 불활성가스텅스텐아크용접원 | id=1765284644407912
B5 | 붐오퍼레이터 | id=1765284168263142
B5 | 브라운관검사원 | id=1765285352669291
B5 | 브라운관배기원 | id=1765285353109434
B5 | 브라운관봉입원 | id=1765285353534828
