# B1 (5직업)
B1 | 브라운관제조반장 | id=1765285354023632
B1 | 브라운관펀넬도포원 | id=1765285354471493
B1 | 브랜드개발자 | id=1765284095999892
B1 | 브러시제조원 | id=1765285336363448
B1 | 브레이크라이닝공정원 | id=1765285166878228
# B2 (5직업)
B2 | 브레이크슈공정원 | id=1765285167249451
B2 | 브레이크슈조립공정원 | id=1765285167658679
B2 | 브레이크패드공정원 | id=1765285168036844
B2 | 브레이크패드몰드제조원 | id=1765285168480291
B2 | 브레이크패드제조반장 | id=1765285168913760
# B3 (5직업)
B3 | 브레이크패드플레이트제조원 | id=1765285169283163
B3 | 브레인트레이너 | id=1765284052688642
B3 | 브이벨트절단기조작원 | id=1765285083539680
B3 | 블라스팅로봇조작원 | id=1765285284903970
B3 | 블로거 | id=1765284245479320
# B4 (5직업)
B4 | 블로우압출기조작원 | id=1765285103179486
B4 | 비계공일반 | id=1765284759715897
B4 | 비계반장 | id=1765284760059208
B4 | 비계해체원 | id=1765284881251222
B4 | 비뇨기과전문의사 | id=1765283992761457
# B5 (5직업)
B5 | 비디오기기기술자 | id=1765283889224855
B5 | 비디오드럼조립원 | id=176528538444974
B5 | 비디오분석관 | id=1765284220359172
B5 | 비디오수리원 | id=1765284705289747
B5 | 비디오시험원 | id=1765285384782318
