# B1 (5직업)
B1 | 비디오자키 | id=1765284156868494
B1 | 비디오저널리스트 | id=1765284147002429
B1 | 비디오조립반장 | id=1765285385108649
B1 | 비디오조립원 | id=176528538544398
B1 | 비디오테이프검사원 | id=1765284705691374
# B2 (5직업)
B2 | 비디오표준테이프제작원 | id=1765284159849976
B2 | 비료제조연구원 | id=1765283785337649
B2 | 비료코팅기조작원 | id=1765285567814709
B2 | 비료품질관리원 | id=1765283809692595
B2 | 비상계획관 | id=1765284061302451
# B3 (5직업)
B3 | 비스코스불순물제거원 | id=1765284908019734
B3 | 비스킷배합기조작원 | id=1765284834380750
B3 | 비스킷성형기조작원 | id=1765284965239289
B3 | 비스킷오븐기조작원 | id=1765284834655342
B3 | 비스킷제조원 | id=176528483493825
# B4 (5직업)
B4 | 비스킷포장원 | id=1765285568089742
B4 | 비즈니스코치 | id=1765284062991153
B4 | 비철주조반장 | id=1765285130388626
B4 | 비철주조원 | id=1765285130694239
B4 | 빅데이터아키텍처전문가 | id=1765283724495863
# B5 (5직업)
B5 | 빌딩정보모델링bim-매니저 | id=1765283753263724
B5 | 빌딩정보모델링bim-엔지니어 | id=1765283753565299
B5 | 빌딩정보모델링bim코디네이터 | id=1765283753848208
B5 | 빔걸이원 | id=1765284952927301
B5 | 빔운반원 | id=1765285592520745
