# B1 (5직업)
B1 | 빙과제조반장 | id=176528484913988
B1 | 빙주기조작원 | id=1765284849455402
B1 | 빵성형원 | id=1765284568590263
B1 | 뽕밭관리원 | id=1765284535302110
B1 | 사료검사원 | id=1765283660818688
# B2 (5직업)
B2 | 사료원료혼합원 | id=1765284826438284
B2 | 사료제분기조작원 | id=1765284826741167
B2 | 사리채취기운전원 | id=1765285446126467
B2 | 사무용기기기술영업원 | id=1765284118372383
B2 | 사무용기기기술자 | id=1765283844060490
# B3 (5직업)
B3 | 사무용기기부품조립원 | id=1765285385725122
B3 | 사무용기기수리원 | id=1765284703410163
B3 | 사무용기기수리현장감독자 | id=1765284703673366
B3 | 사무용기기조립원 | id=1765285386194514
B3 | 사무용기기조립현장감독자 | id=1765285386743480
# B4 (5직업)
B4 | 사무용기기판매원 | id=1765284511984812
B4 | 사무학원강사 | id=1765284041182168
B4 | 사물인터넷개발자 | id=1765283679137976
B4 | 사물인터넷사업기획자 | id=1765284096247941
B4 | 사방작업원 | id=1765284555269993
# B5 (5직업)
B5 | 사별원 | id=17652848270850
B5 | 사상압연원 | id=1765285169597366
B5 | 사상원 | id=1765285271028105
B5 | 사상의학연구원 | id=176528360877027
B5 | 사슴사육사 | id=1765284549838798
