# B1 (5직업)
B1 | 사업자금대출원 | id=1765284371821872
B1 | 사업체식당조리사 | id=1765284488189640
B1 | 사업체조경관리원 | id=1765284538750680
B1 | 사열형압축롤조작원 | id=1765285083888703
B1 | 사용자경험기획자 | id=1765284067678418
# B2 (5직업)
B2 | 사용후배터리평가사 | id=1765283894522100
B2 | 사용후핵연료수송저장연구원 | id=1765283987523552
B2 | 사이버수사요원 | id=1765284444102884
B2 | 사이버포렌식전문가 | id=1765283732908672
B2 | 사이처 | id=176528404892290
# B3 (5직업)
B3 | 사전연명의료의향서상담사 | id=1765284023861696
B3 | 사증원 | id=1765284908280375
B3 | 사진기검사원 | id=1765285387234703
B3 | 사진기수리원 | id=1765284709057285
B3 | 사진기제조현장감독자 | id=17652853877032
# B4 (5직업)
B4 | 사진기조립원 | id=1765285388247956
B4 | 사진리터처 | id=1765285554552107
B4 | 사진인화현상원 | id=1765285555077699
B4 | 사진장비조립원 | id=1765285388838719
B4 | 사진제판반장 | id=1765285540052316
# B5 (5직업)
B5 | 사진제판원 | id=1765285555622624
B5 | 사철기조작원 | id=1765285540516784
B5 | 사출성형기조작원 | id=1765285103575516
B5 | 사충원 | id=1765284779216615
B5 | 사침원 | id=1765284953267175
