# B1 (5직업)
B1 | 사탕제조원 | id=1765284835200605
B1 | 사탕주형원 | id=1765284835484975
B1 | 사파리버스운전원 | id=176528447474697
B1 | 사회과학교수 | id=1765284032048553
B1 | 사회과학연구관리자 | id=1765283548991708
# B2 (5직업)
B2 | 사회교사 | id=1765284035444627
B2 | 사회보장보험가입자관리원 | id=1765284362306265
B2 | 사회보장보험급여심사원 | id=1765284362749273
B2 | 사회보장보험급여원 | id=1765284363083427
B2 | 사회보장보험료부과원 | id=1765284363463275
# B3 (5직업)
B3 | 사회보장보험료징수원 | id=1765284363809264
B3 | 사회보장보험민원상담원 | id=1765284430178159
B3 | 사회보장사업장자격관리원 | id=1765284364121255
B3 | 사회복지정책연구원 | id=1765283649266573
B3 | 사회사업단체임원 | id=1765283563989855
# B4 (5직업)
B4 | 사회자 | id=1765284157126166
B4 | 사회적경제활동가 | id=1765284028477231
B4 | 사회적책임경영-컨설턴트 | id=1765284067917585
B4 | 사회조사연구원 | id=1765284110544220
B4 | 산림경영계획편성원 | id=1765283661196878
# B5 (5직업)
B5 | 산림관리자 | id=1765283584574538
B5 | 산림기술자 | id=1765283661532900
B5 | 산림목공 | id=1765284555523159
B5 | 산림병충해방제작업원 | id=1765285615912364
B5 | 산림병충해예찰조사원 | id=1765284555821437
