# B1 (5직업)
B1 | 산림보호원 | id=1765284556143265
B1 | 산림석공 | id=1765284556560379
B1 | 산림순찰원 | id=1765284556929190
B1 | 산림자원연구원 | id=1765283609204517
B1 | 산림작업반장 | id=1765284557273596
# B2 (5직업)
B2 | 산림조사원 | id=176528366184599
B2 | 산림치유지도사 | id=1765284014632668
B2 | 산림환경연구원 | id=1765283609619251
B2 | 산부인과전문의사 | id=1765283993005982
B2 | 산불감시원 | id=176528561634344
# B3 (5직업)
B3 | 산불진화대원 | id=1765284446312588
B3 | 산세반장 | id=176528519944825
B3 | 산세원 | id=1765285199816429
B3 | 산업기계장비임대사무원 | id=1765284245816849
B3 | 산업기반기술학원강사 | id=1765284043651175
# B4 (5직업)
B4 | 산업노동정책연구원 | id=1765283649537947
B4 | 산업보건관리원 | id=176528394971582
B4 | 산업설비여신자금대출원 | id=1765284372168357
B4 | 산업수학모더레이터 | id=1765283634966376
B4 | 산업용로봇운영프로그램설치기술자 | id=1765283933985598
# B5 (5직업)
B5 | 산업전문간호사 | id=1765284003421134
B5 | 산업조사분석원 | id=1765283649821882
B5 | 산업체안내원 | id=1765284424070438
B5 | 산업카운슬러 | id=1765284024223303
B5 | 산업폐수수거원 | id=1765285606595167
