# B1 (5직업)
B1 | 산업폐수영업사무원 | id=1765284495069407
B1 | 산유세원 | id=1765285200157959
B1 | 산재보험사후보상관리원 | id=1765284364477364
B1 | 산학협력교수 | id=176528403228541
B1 | 산후관리사 | id=1765284581156786
# B2 (5직업)
B2 | 산후조리원신생아관리사 | id=1765284003670976
B2 | 살균세탁원 | id=1765285001867633
B2 | 살균솥조작원 | id=1765284835763915
B2 | 상감원 | id=1765284789569134
B2 | 상담영양사 | id=1765284007485161
# B3 (5직업)
B3 | 상수도관망시설운영관리사 | id=1765283757118598
B3 | 상수원수질관리원 | id=1765283949955694
B3 | 상업교사 | id=1765284035692553
B3 | 상조영업원 | id=1765284495524971
B3 | 상품공간스토리텔러 | id=1765284096487998
# B4 (5직업)
B4 | 상품권판매대행사무원 | id=1765284525603757
B4 | 상하수도연구원 | id=1765283757708849
B4 | 색박기조작원 | id=1765285541025442
B4 | 색보정기사 | id=1765284163212528
B4 | 색부기조작원 | id=1765285541570434
# B5 (5직업)
B5 | 색상개발원 | id=1765283981469942
B5 | 색조화장품제조원 | id=1765285055418587
B5 | 색지정자 | id=1765284177117481
B5 | 샌드기조작원 | id=1765284836035105
B5 | 샌드밀연화원 | id=1765285023161934
