# B1 (5직업)
B1 | 생리학연구원 | id=176528360998898
B1 | 생명과학연구관리자 | id=1765283549330992
B1 | 생명윤리연구원 | id=1765283643143950
B1 | 생명윤리운영원 | id=1765284139484214
B1 | 생물분자유전연구원 | id=176528361068444
# B2 (5직업)
B2 | 생물화학공정연구원 | id=1765283611128414
B2 | 생사정리원 | id=1765285592975168
B2 | 생산계획사무원 | id=1765284287944272
B2 | 생산공정관리사무원 | id=1765284288274433
B2 | 생산관리-컨설턴트 | id=1765284068158528
# B3 (5직업)
B3 | 생산관리기술자 | id=1765284288564258
B3 | 생산관리자일반 | id=1765283580115505
B3 | 생산설비관리원 | id=1765284676925874
B3 | 생산시설환경기술자 | id=1765283952919450
B3 | 생석회세정탈수원 | id=1765285235185543
# B4 (5직업)
B4 | 생선절단원 | id=1765284584899498
B4 | 생선조미원 | id=1765284585172569
B4 | 생선해체원 | id=1765284585467118
B4 | 생육살균원 | id=1765284578475751
B4 | 생육정형원 | id=176528457873122
# B5 (5직업)
B5 | 생지가열로조작원 | id=1765284887341171
B5 | 생지검사반장 | id=1765284953571271
B5 | 생지검사원 | id=1765284953873422
B5 | 생체-인식-전문가 | id=1765283889486487
B5 | 생체역학연구원 | id=1765283611517420
