# B1 (5직업)
B1 | 생태계복원관리연구원 | id=1765283611870890
B1 | 생태세밀화가 | id=1765284172840183
B1 | 생태어메니티전문가 | id=176528409674735
B1 | 생화학연구원 | id=1765283612332721
B1 | 생활체육연구원 | id=1765283612728506
# B2 (5직업)
B2 | 생활환경유해인자연구원 | id=1765283613107988
B2 | 서냉로조작원 | id=1765285212640689
B2 | 서지학연구원 | id=1765283643481127
B2 | 석고형제작원 | id=1765284789839617
B2 | 석도원 | id=1765285200456281
# B3 (5직업)
B3 | 석부원 | id=1765284535945299
B3 | 석유기술자 | id=1765283960133545
B3 | 석유및석유대체연료검사원 | id=1765283810028358
B3 | 석유정제업관리자 | id=1765283580470176
B3 | 석유화학고객지원기술자 | id=1765283810365792
# B4 (5직업)
B4 | 석유화학공정관리자 | id=1765283785808787
B4 | 석유화학공정연구개발자 | id=176528378632296
B4 | 석유화학공정연구원 | id=1765283909853969
B4 | 석유화학공정제어원 | id=1765285004859334
B4 | 석유화학물류지원기술자 | id=1765284267320174
# B5 (5직업)
B5 | 석유화학물질분석원 | id=1765283810657281
B5 | 석유화학생산관리자 | id=176528428891079
B5 | 석유화학생산설비운전원 | id=176528505584356
B5 | 석유화학설비관리자 | id=1765283913755119
B5 | 석유화학설비유지보수원 | id=1765284677303951
