# B1 (5직업)
B1 | 석유화학소재연구개발자 | id=1765283786766514
B1 | 석유화학소재연구원 | id=1765283787191175
B1 | 석유화학안전관리자 | id=1765283944979662
B1 | 석유화학안전점검원 | id=1765283945222194
B1 | 석유화학연구기획자 | id=176528354963583
# B2 (5직업)
B2 | 석유화학유틸리티관리자 | id=1765284677588138
B2 | 석유화학유틸리티운전원 | id=1765284677936825
B2 | 석유화학인허가사무원 | id=176528406840092
B2 | 석유화학재고관리원 | id=1765284267720804
B2 | 석유화학제품시험분석원 | id=176528381100981
# B3 (5직업)
B3 | 석유화학지식재산권관리자 | id=1765284413444681
B3 | 석유화학품질검사원 | id=1765283811348209
B3 | 석유화학품질관리자 | id=176528428920753
B3 | 석유화학품질보증평가기술자 | id=1765284289531328
B3 | 석유화학현장공정관리원 | id=1765285005317417
# B4 (5직업)
B4 | 석유화학환경관리사무원 | id=1765283950204770
B4 | 석유화학환경관리자 | id=1765283950452553
B4 | 석재건조기조작원 | id=1765285225311844
B4 | 석재공명기조작원 | id=1765285249822596
B4 | 석재모방가공원 | id=1765285250148926
# B5 (5직업)
B5 | 석재연마원 | id=1765285250647711
B5 | 석재재단기조작원 | id=1765285250994902
B5 | 석재천공원 | id=1765285251529185
B5 | 석재파쇄기조작원 | id=1765285251812718
B5 | 석재평삭기조작원 | id=176528525209074
