# B1 (5직업)
B1 | 석제품제작원 | id=1765284790150693
B1 | 석탄가스정제기술연구원 | id=1765283787674683
B1 | 석탄가스정제원 | id=1765285005648817
B1 | 석탄가스화기술연구원 | id=176528378813713
B1 | 석탄혼합원 | id=1765285235582317
# B2 (5직업)
B2 | 석편수 | id=1765284748747494
B2 | 석회소성로운전원 | id=1765285509427385
B2 | 석회소성원 | id=1765285235974312
B2 | 석회유정제원 | id=1765285236418915
B2 | 선거작업반장 | id=1765285434301369
# B3 (5직업)
B3 | 선거작업원 | id=1765285434764716
B3 | 선견원 | id=1765284987316268
B3 | 선광관리자 | id=1765283575248773
B3 | 선광기술자 | id=1765283960431350
B3 | 선교사 | id=1765284031051654
# B4 (5직업)
B4 | 선두유도원 | id=1765284216487782
B4 | 선로보수원 | id=1765284777568733
B4 | 선망어선원 | id=1765284563830751
B4 | 선물거래중개인 | id=1765284088347400
B4 | 선물옵션거래관리자 | id=1765283559139110
# B5 (5직업)
B5 | 선물옵션시장분석가 | id=1765284076002608
B5 | 선물옵션시장운영원 | id=1765284386921409
B5 | 선물자산운용가 | id=1765284080090184
B5 | 선물포장-디자이너 | id=176528420415995
B5 | 선물환사무원 | id=1765284387254922
