# B1 (5직업)
B1 | 선박건조반장 | id=1765285302067288
B1 | 선박검사원 | id=1765283936960784
B1 | 선박계장원 | id=1765284715596307
B1 | 선박공무감독 | id=1765283967262799
B1 | 선박관리사무원 | id=1765284309209953
# B2 (5직업)
B2 | 선박급유원 | id=1765285611663999
B2 | 선박기계반장 | id=1765285302412889
B2 | 선박기계설치원 | id=176528530284391
B2 | 선박기계시운전원 | id=1765283967522312
B2 | 선박기관설치원 | id=1765285303292334
# B3 (5직업)
B3 | 선박기관시운전원 | id=1765283967897411
B3 | 선박기관장 | id=1765283968203491
B3 | 선박기관정비원 | id=1765284656886932
B3 | 선박기술자 | id=1765283914043518
B3 | 선박도장공 | id=1765284771006195
# B4 (5직업)
B4 | 선박도장반장 | id=176528477132029
B4 | 선박매매중개인 | id=1765284121562681
B4 | 선박배관설계기술자 | id=1765283914324640
B4 | 선박배관정비원 | id=1765284657148659
B4 | 선박사무장 | id=176528447059037
# B5 (5직업)
B5 | 선박사상원 | id=1765285271305300
B5 | 선박선형설계기술자 | id=1765283914577220
B5 | 선박설계관리자 | id=1765283914860599
B5 | 선박설계기술자 | id=1765283915187759
B5 | 선박수압검사원 | id=1765284678321723
