# B1 (5직업)
B1 | 선박용접로봇조작원 | id=1765285285742842
B1 | 선박용접원 | id=1765284644661494
B1 | 선박운항관리원 | id=1765284309590836
B1 | 선박의장반장 | id=1765285303778417
B1 | 선박의장정비원 | id=1765284657443873
# B2 (5직업)
B2 | 선박잠수사 | id=1765284780041901
B2 | 선박전기의장원 | id=1765284715962184
B2 | 선박전기의장현장감독자 | id=1765284716243360
B2 | 선박전장정비원 | id=1765284657766632
B2 | 선박주형제작원 | id=1765284631774452
# B3 (5직업)
B3 | 선박커미셔닝-엔지니어 | id=1765283937205725
B3 | 선박통신사 | id=1765283742774896
B3 | 선박화물양적하작업관리자 | id=1765284268118622
B3 | 선박화물양적하작업사무원 | id=1765284268532102
B3 | 선박환경검사원 | id=1765283953166403
# B4 (5직업)
B4 | 선박환경설비기술자 | id=1765283915455813
B4 | 선박환경설비설치원 | id=1765285304210429
B4 | 선반원 | id=176528527173761
B4 | 선별원 | id=1765285568451374
B4 | 선상가열원 | id=1765285187845316
# B5 (5직업)
B5 | 선석플래너 | id=176528431001136
B5 | 선염정경원 | id=1765284954132245
B5 | 선장일반 | id=1765283968521552
B5 | 선재교정기조작원 | id=1765285169992699
B5 | 선재생산원 | id=1765285131040331
