# B1 (5직업)
B1 | 선재압연원 | id=1765285170427823
B1 | 선재제조반장 | id=1765285170796453
B1 | 선재코일원 | id=1765285171263339
B1 | 선적서류사무원 | id=1765284310428718
B1 | 선체정비원 | id=1765284658161573
# B2 (5직업)
B2 | 선탄기조작원 | id=1765285252357121
B2 | 선화원 | id=1765284177422331
B2 | 설비제관공 | id=1765284641079125
B2 | 설탕건조기조작원 | id=1765284887666307
B2 | 섬유가공설비개발기술자 | id=1765283915779108
# B3 (5직업)
B3 | 섬유가공설비개발시험원 | id=176528393743775
B3 | 섬유공예가 | id=1765284790705417
B3 | 섬유공정개발기술자 | id=1765283976281373
B3 | 섬유공정개발시험원 | id=1765283981715843
B3 | 섬유교반기운전원 | id=1765284908591100
# B4 (5직업)
B4 | 섬유기술-컨설턴트 | id=176528406864633
B4 | 섬유방사노즐교환원 | id=176528467859170
B4 | 섬유방사노즐세정원 | id=1765284678916634
B4 | 섬유생산일보작성원 | id=1765284289854927
B4 | 섬유소재개발기술자 | id=1765283976530777
# B5 (5직업)
B5 | 섬유소재개발시험원 | id=1765283981955122
B5 | 섬유신장장치운전원 | id=1765284908858468
B5 | 섬유압출원 | id=1765284909213263
B5 | 섬유얼룩세척원 | id=1765284934535820
B5 | 섬유유연제이차반응기조작원 | id=176528502358632
