# B1 (5직업)
B1 | 섬유유연제일차반응기조작원 | id=1765285023966912
B1 | 섬유유제원 | id=176528490952615
B1 | 섬유절단원 | id=1765284987715941
B1 | 섬유제품제조관리자 | id=1765283580843667
B1 | 섬유조합원 | id=1765284909878950
# B2 (5직업)
B2 | 성교육강사 | id=1765284052932803
B2 | 성형외과전문의사 | id=1765283993260244
B2 | 성형프레스설치원 | id=1765284679220833
B2 | 세관사무원 | id=1765284231780144
B2 | 세당작업원 | id=1765284888018131
# B3 (5직업)
B3 | 세모기운전원 | id=1765284910200243
B3 | 세무사무원 | id=1765284346733290
B3 | 세융가공원 | id=1765284935023402
B3 | 세차원 | id=1765285600862131
B3 | 세탁물접수원 | id=1765285621014205
# B4 (4직업)
B4 | 세탁보조원 | id=1765285621480886
B4 | 세탁소관리자 | id=176528359718779
B4 | 세폭직물직조기조작원 | id=1765284954479519
B4 | 센서개발자 | id=1765283889742161
# B5 (0직업)
