# B1 (5직업)
B1 | 소형컴퓨터시스템연구원 | id=1765283701518977
B1 | 소화용밸브검사원 | id=1765285320000549
B1 | 소화용부품조립원 | id=1765285314979288
B1 | 속눈썹미용사 | id=1765284462188275
B1 | 속옷-디자이너 | id=1765284195824125
# B2 (5직업)
B2 | 손자수원 | id=1765284602749645
B2 | 손톱미용강사 | id=1765284043947520
B2 | 손톱미용사 | id=1765284460136258
B2 | 솔마무리원 | id=1765284818671639
B2 | 솔제작원 | id=1765284818940140
# B3 (5직업)
B3 | 솔질원 | id=1765285509988352
B3 | 송무담당원 | id=1765284364796379
B3 | 송변전기술연구원 | id=1765283844830937
B3 | 송변전설비보수원 | id=1765284724188647
B3 | 송변전설비전자제어원 | id=1765285326876345
# B4 (5직업)
B4 | 송전기술연구원 | id=1765283845190990
B4 | 송전설비관리원 | id=1765283845621625
B4 | 송전전공 | id=1765284724480982
B4 | 송전현장감독자 | id=1765284724777823
B4 | 송풍기도장공 | id=1765285191204756
# B5 (5직업)
B5 | 송풍기성능시험원 | id=1765283894796780
B5 | 송풍기제관공 | id=1765284641420870
B5 | 송풍기제조반장 | id=1765285315387130
B5 | 송풍기조립원 | id=1765285315697958
B5 | 쇄석기조종사 | id=1765285446624413
