# B1 (5직업)
B1 | 쇼트원 | id=1765285171655239
B1 | 쇼트피닝기조작원 | id=176528530507064
B1 | 쇼핑몰택배준비원 | id=1765285614148529
B1 | 수간호사 | id=1765284003930128
B1 | 수경연출-디자이너 | id=1765283762992421
# B2 (5직업)
B2 | 수금관리사무원 | id=176528434886318
B2 | 수금사무원 | id=1765284403515759
B2 | 수납정리원 | id=1765285609090684
B2 | 수단제조원 | id=1765284603096187
B2 | 수도계량기관리원 | id=176528426935514
# B3 (5직업)
B3 | 수도계측제어설비기술자 | id=1765283916073937
B3 | 수도기계설비기술자 | id=1765283916372145
B3 | 수도사업개발계획원 | id=1765284233662701
B3 | 수도사업전기설비기술원 | id=1765283845997909
B3 | 수도설비운영관리원 | id=1765283916657202
# B4 (5직업)
B4 | 수도용수판매관리원 | id=1765284246077695
B4 | 수도자 | id=1765284031297517
B4 | 수돗물전과정평가연구원 | id=1765283788542501
B4 | 수동대패원 | id=1765284753906767
B4 | 수동스크린날염원 | id=1765284603446349
# B5 (5직업)
B5 | 수동조형원 | id=1765284632080671
B5 | 수동충전원 | id=1765285056264803
B5 | 수동포장원일반 | id=1765285593412987
B5 | 수력발전개발자 | id=1765283846385511
B5 | 수력발전설비설치원 | id=1765284680518841
