# B1 (5직업)
B1 | 수력발전설비유지보수원 | id=1765284680937115
B1 | 수력발전시스템기술자 | id=1765283846750335
B1 | 수력발전연구원 | id=176528384713232
B1 | 수력발전운전원 | id=1765285327402812
B1 | 수력발전전기설비안전관리원 | id=1765283945724161
# B2 (5직업)
B2 | 수렵장관리원 | id=1765284550164808
B2 | 수렵장작업원 | id=1765284550489400
B2 | 수리시설감시원 | id=1765285460707252
B2 | 수면비행선박조종사 | id=1765283968803679
B2 | 수목관리원 | id=1765284539106771
# B3 (5직업)
B3 | 수목전지원 | id=1765284539407501
B3 | 수목치료기술자 | id=176528365675433
B3 | 수산공학연구원 | id=1765283613399939
B3 | 수산물원료처리원 | id=1765284585695819
B3 | 수산물채취원 | id=1765285616792692
# B4 (5직업)
B4 | 수산물판매원 | id=1765284512461588
B4 | 수산물품질검사원 | id=1765283979220302
B4 | 수산생물병리연구원 | id=1765283613821268
B4 | 수산식품위생연구원 | id=1765283972079273
B4 | 수산업교사 | id=1765284035936846
# B5 (5직업)
B5 | 수산종묘관리기사 | id=1765283662133825
B5 | 수산종묘생산업자 | id=1765283584849515
B5 | 수상레저기구정비원 | id=1765284658494316
B5 | 수소생산시스템연구원 | id=1765283788948299
B5 | 수소에너지연구원 | id=176528378934718
